"","x"
"1","no"
"2","no"
"3","no"
"4","no"
"5","no"
"6","no"
"7","no"
"8","no"
"9","no"
"10","no"
"11","no"
"12","yes"
"13","no"
"14","yes"
"15","no"
"16","no"
"17","no"
"18","no"
"19","no"
"20","no"
"21","yes"
"22","no"
"23","no"
"24","no"
"25","no"
"26","no"
"27","no"
"28","no"
"29","no"
"30","no"
"31","yes"
"32","yes"
"33","no"
"34","no"
"35","no"
"36","yes"
"37","no"
"38","yes"
"39","no"
"40","yes"
"41","no"
"42","yes"
"43","no"
"44","yes"
"45","yes"
"46","yes"
"47","no"
"48","yes"
"49","no"
"50","no"
"51","no"
"52","no"
"53","no"
"54","no"
"55","no"
"56","yes"
"57","no"
"58","yes"
"59","no"
"60","no"
"61","no"
"62","no"
"63","no"
"64","no"
"65","no"
"66","no"
"67","no"
"68","no"
"69","no"
"70","no"
"71","no"
"72","no"
"73","no"
"74","no"
"75","no"
"76","no"
"77","no"
"78","no"
"79","no"
"80","no"
"81","no"
"82","no"
"83","yes"
"84","no"
"85","no"
"86","no"
"87","no"
"88","no"
"89","no"
"90","no"
"91","no"
"92","no"
"93","no"
"94","no"
"95","no"
"96","no"
"97","no"
"98","no"
"99","no"
"100","no"
"101","no"
"102","no"
"103","no"
"104","yes"
"105","no"
"106","no"
"107","no"
"108","no"
"109","no"
"110","no"
"111","no"
"112","no"
"113","no"
"114","no"
"115","no"
"116","no"
"117","no"
"118","yes"
"119","no"
"120","no"
"121","no"
"122","no"
"123","no"
"124","no"
"125","no"
"126","no"
"127","no"
"128","no"
"129","no"
"130","no"
"131","no"
"132","no"
"133","no"
"134","yes"
"135","no"
"136","no"
"137","no"
"138","no"
"139","yes"
"140","no"
"141","yes"
"142","no"
"143","no"
"144","no"
"145","no"
"146","no"
"147","no"
"148","no"
"149","no"
"150","no"
"151","no"
"152","no"
"153","no"
"154","no"
"155","no"
"156","no"
"157","no"
"158","no"
"159","no"
"160","no"
"161","no"
"162","no"
"163","no"
"164","no"
"165","no"
"166","no"
"167","no"
"168","yes"
"169","no"
"170","no"
"171","no"
"172","no"
"173","no"
"174","no"
"175","no"
"176","no"
"177","yes"
"178","no"
"179","no"
"180","no"
"181","no"
"182","yes"
"183","no"
"184","no"
"185","no"
"186","no"
"187","no"
"188","no"
"189","no"
"190","no"
"191","no"
"192","no"
"193","yes"
"194","no"
"195","no"
"196","no"
"197","no"
"198","no"
"199","no"
"200","no"
"201","no"
"202","no"
"203","yes"
"204","no"
"205","no"
"206","no"
"207","no"
"208","no"
"209","no"
"210","no"
"211","no"
"212","yes"
"213","no"
"214","no"
"215","no"
"216","no"
"217","no"
"218","no"
"219","no"
"220","yes"
"221","no"
"222","no"
"223","yes"
"224","yes"
"225","no"
"226","no"
"227","no"
"228","no"
"229","yes"
"230","no"
"231","yes"
"232","no"
"233","no"
"234","no"
"235","no"
"236","no"
"237","no"
"238","no"
"239","no"
"240","no"
"241","no"
"242","no"
"243","no"
"244","no"
"245","no"
"246","no"
"247","no"
"248","no"
"249","no"
"250","no"
